Instance,nCust,nVehicles,Bound,CPU,Dataset,Optimal
B_6_20_2.rmc,20,6,600,600,B,No
B_6_20_3.rmc,20,6,545,600,B,No
B_6_20_4.rmc,20,6,615,9,B,No
B_8_20_1.rmc,20,8,920,600,B,No
B_8_20_2.rmc,20,8,735,600,B,No
B_8_20_3.rmc,20,8,655,36,B,Yes
B_8_20_4.rmc,20,8,820,132,B,Yes
B_10_20_1.rmc,20,10,805,13,B,Yes
B_10_20_2.rmc,20,10,825,600,B,Yes
B_10_20_3.rmc,20,10,730,68,B,Yes
B_10_20_4.rmc,20,10,765,14,B,Yes
B_12_20_1.rmc,20,12,770,0,B,Yes
B_12_20_2.rmc,20,12,770,49,B,Yes
B_12_20_3.rmc,20,12,835,600,B,No
B_12_20_4.rmc,20,12,850,316,B,Yes
B_14_20_1.rmc,20,14,830,4,B,Yes
B_14_20_2.rmc,20,14,695,1,B,Yes
B_14_20_3.rmc,20,14,840,93,B,Yes
B_14_20_4.rmc,20,14,755,2,B,Yes
B_16_20_1.rmc,20,16,905,101,B,Yes
B_16_20_2.rmc,20,16,805,0,B,Yes
B_16_20_3.rmc,20,16,915,109,B,Yes
B_16_20_4.rmc,20,16,875,19,B,Yes
B_18_20_1.rmc,20,18,820,7,B,Yes
B_18_20_2.rmc,20,18,740,1,B,Yes
B_18_20_3.rmc,20,18,775,1,B,Yes
B_18_20_4.rmc,20,18,840,5,B,Yes
B_20_20_1.rmc,20,20,875,0,B,Yes
B_20_20_2.rmc,20,20,0,600,B,No
B_20_20_3.rmc,20,20,980,12,B,Yes
B_20_20_4.rmc,20,20,765,2,B,Yes
B_6_30_1.rmc,30,6,685,600,B,No
B_6_30_2.rmc,30,6,680,600,B,No
B_6_30_3.rmc,30,6,390,600,B,No
B_6_30_4.rmc,30,6,470,600,B,No
B_8_30_1.rmc,30,8,680,600,B,No
B_8_30_2.rmc,30,8,850,600,B,No
B_8_30_3.rmc,30,8,780,600,B,No
B_8_30_4.rmc,30,8,665,600,B,No
B_10_30_1.rmc,30,10,610,600,B,No
B_10_30_2.rmc,30,10,600,600,B,No
B_10_30_3.rmc,30,10,795,600,B,No
B_10_30_4.rmc,30,10,1075,600,B,No
B_12_30_1.rmc,30,12,720,600,B,No
B_12_30_2.rmc,30,12,1175,23,B,No
B_12_30_3.rmc,30,12,950,591,B,Yes
B_12_30_4.rmc,30,12,1185,600,B,Yes
B_14_30_1.rmc,30,14,1180,8,B,No
B_14_30_2.rmc,30,14,1020,600,B,No
B_14_30_3.rmc,30,14,1005,4,B,Yes
B_14_30_4.rmc,30,14,1195,565,B,No
B_16_30_1.rmc,30,16,1230,564,B,No
B_16_30_2.rmc,30,16,1175,113,B,Yes
B_16_30_3.rmc,30,16,1105,7,B,Yes
B_16_30_4.rmc,30,16,1025,600,B,No
B_18_30_1.rmc,30,18,1080,3,B,Yes
B_18_30_2.rmc,30,18,1205,6,B,Yes
B_18_30_3.rmc,30,18,0,600,B,No
B_18_30_4.rmc,30,18,1125,11,B,Yes
B_20_30_1.rmc,30,20,1250,20,B,Yes
B_20_30_2.rmc,30,20,1325,193,B,Yes
B_20_30_3.rmc,30,20,1205,51,B,Yes
B_20_30_4.rmc,30,20,1245,5,B,Yes
B_6_40_1.rmc,40,6,620,600,B,No
B_6_40_2.rmc,40,6,825,600,B,No
B_6_40_3.rmc,40,6,485,600,B,No
B_6_40_4.rmc,40,6,530,600,B,No
B_8_40_1.rmc,40,8,855,600,B,No
B_8_40_2.rmc,40,8,1200,149,B,No
B_8_40_3.rmc,40,8,510,600,B,No
B_8_40_4.rmc,40,8,545,600,B,No
B_10_40_1.rmc,40,10,890,600,B,No
B_10_40_2.rmc,40,10,1380,600,B,No
B_10_40_3.rmc,40,10,1325,600,B,No
B_10_40_4.rmc,40,10,1275,600,B,No
B_12_40_1.rmc,40,12,1225,600,B,No
B_12_40_2.rmc,40,12,695,600,B,No
B_12_40_3.rmc,40,12,930,600,B,No
B_12_40_4.rmc,40,12,915,600,B,No
B_14_40_1.rmc,40,14,1250,600,B,No
B_14_40_2.rmc,40,14,1005,600,B,No
B_14_40_3.rmc,40,14,1550,55,B,Yes
B_14_40_4.rmc,40,14,1545,600,B,No
B_16_40_1.rmc,40,16,1340,18,B,Yes
B_16_40_2.rmc,40,16,1290,600,B,No
B_16_40_3.rmc,40,16,1040,600,B,No
B_16_40_4.rmc,40,16,1600,24,B,No
B_18_40_1.rmc,40,18,1595,600,B,No
B_18_40_2.rmc,40,18,1635,7,B,Yes
B_18_40_3.rmc,40,18,1475,600,B,No
B_18_40_4.rmc,40,18,1165,600,B,No
B_20_40_1.rmc,40,20,1605,600,B,No
B_20_40_2.rmc,40,20,750,600,B,No
B_20_40_3.rmc,40,20,1355,600,B,No
B_20_40_4.rmc,40,20,1530,538,B,Yes
B_6_50_1.rmc,50,6,405,600,B,No
B_6_50_2.rmc,50,6,555,600,B,No
B_6_50_3.rmc,50,6,210,600,B,No
B_6_50_4.rmc,50,6,455,600,B,No
B_8_50_1.rmc,50,8,975,600,B,No
B_8_50_2.rmc,50,8,525,600,B,No
B_8_50_3.rmc,50,8,525,600,B,No
B_8_50_4.rmc,50,8,260,600,B,No
B_10_50_1.rmc,50,10,220,600,B,No
B_10_50_2.rmc,50,10,430,600,B,No
B_10_50_3.rmc,50,10,345,600,B,No
B_10_50_4.rmc,50,10,890,600,B,No
B_12_50_1.rmc,50,12,1330,600,B,No
B_12_50_2.rmc,50,12,545,600,B,No
B_12_50_3.rmc,50,12,565,600,B,No
B_12_50_4.rmc,50,12,1320,600,B,No
B_14_50_1.rmc,50,14,815,600,B,No
B_14_50_2.rmc,50,14,340,600,B,No
B_14_50_3.rmc,50,14,875,600,B,No
B_14_50_4.rmc,50,14,390,600,B,No
B_16_50_1.rmc,50,16,425,601,B,No
B_16_50_2.rmc,50,16,810,601,B,No
B_16_50_3.rmc,50,16,930,601,B,No
B_16_50_4.rmc,50,16,250,600,B,No
B_18_50_1.rmc,50,18,1570,601,B,No
B_18_50_2.rmc,50,18,600,600,B,No
B_18_50_3.rmc,50,18,1260,601,B,No
B_18_50_4.rmc,50,18,1705,600,B,No
B_20_50_1.rmc,50,20,1400,600,B,No
B_20_50_2.rmc,50,20,755,600,B,No
B_20_50_3.rmc,50,20,1440,601,B,No
B_20_50_4.rmc,50,20,1890,0,B,Yes
